Unnamed: 0.1,Unnamed: 0,title,category,has_exclamation,has_question,has_number,num_count,mark_count,original_title,label_score
7654,7654,personel grup girl beber ini alam buruk jadi lama kpop idol,Hiburan_&_Selebriti,0,0,1,1,0,Personel Girl Grup Ini Beber 5 Pengalaman Terburuk Selama Jadi Idol K-Pop,1
4366,4366,Yasonna kukuh guru bagai besar ilmu kriminolog stik,Berita_indonesia,0,0,0,0,0,Yasonna Dikukuhkan Sebagai Guru Besar Ilmu Kriminologi STIK,0
2367,2367,warga haru di bayar samsat kantor untuk potong dapat pajak tunggak,Berita_indonesia,0,0,0,0,0,Warga Harus Bayar di Kantor Samsat untuk Dapat Potongan Tunggakan Pajak,0
6081,6081,fahri bj hamzah habibi nobel layak dapat,Berita_indonesia,0,0,0,0,0,Fahri Hamzah: BJ Habibie Layak Dapat Nobel,0
4824,4824,bj bapak teknolog habibi yang ingin mandiri indonesia,Berita_indonesia,0,0,0,0,1,"BJ Habibie, Bapak Teknologi yang Ingin Indonesia Mandiri",0
3666,3666,Jadi pimpin ini kpk gebrak firli bahuri,Berita_indonesia,0,0,0,0,1," Jadi Pimpinan KPK, Ini Gebrakan Firli Bahuri   ",1
6234,6234,liga bursa transfer daftar lengkap pindah klub main,Olahraga,0,0,1,3,0,Bursa Transfer Liga 1: Daftar Lengkap Perpindahan Pemain 18 Klub,0
7556,7556,lantik usai anggota dpr muda lasut hillari serang langsung rkuhp,Berita_indonesia,0,0,0,0,1,"Usai Dilantik, Anggota DPR Termuda Hillary Lasut Langsung 'Serang' RKUHP",1
8073,8073,dima tembak yuk beck kato lebih vidi pilih aldiano,Hiburan_&_Selebriti,0,1,0,0,2," 'Ditembak' Dimas Beck, Yuki Kato Lebih Pilih Vidi Aldiano?",1
5031,5031,dpr dan perintah kesah kebut masyarakat revisi uu,Berita_indonesia,0,0,0,0,0,DPR dan Pemerintah Kebut Pengesahan Revisi UU Pemasyarakatan,0
6748,6748,revisi kpk uu bahas di dpr baleg dinami sebut,Berita_indonesia,0,0,0,0,1,"Revisi UU KPK, Pembahasan di Baleg DPR Disebut Dinamis",0
2473,2473,langgar ada di pertama hari luas genap ganjil,Berita_indonesia,0,0,1,3,0,Ada 941 Pelanggaran di Hari Pertama Perluasan Ganjil Genap,0
6942,6942,menteri pupr bocor calon istana lokasi di presiden papua,"Keuangan,Ekonomi_&_Bisnis",0,0,0,0,0,Menteri PUPR Bocorkan Lokasi Calon Istana Presiden di Papua,0
3281,3281,Malaysia usaha sawit segel kait riau karhutla,Berita_indonesia,0,0,0,0,0,Perusahaan Sawit Malaysia Disegel Terkait Karhutla Riau,0
3481,3481,koleksi ta mewah lucinta luna bikin jiwa miskin merontaronta netizen,Gaya_Hidup_&_Kesehatan,0,0,1,1,0,5 Koleksi Tas Mewah Lucinta Luna Bikin Jiwa Miskin Netizen Meronta-ronta,1
5065,5065,kenal mobil kancil ridwan sebut kamil sesuai butuh warga,Regional_&_Daerah,0,0,0,0,1,"Perkenalkan Mobil Kancil, Ridwan Kamil Sebut Sesuai Kebutuhan Warga",0
6278,6278,mcdonald mcdeliveri luncur in night,Gaya_Hidup_&_Kesehatan,0,0,0,0,0,McDonald Luncurkan McDelivery Night In,0
2054,2054,perahu ombak hantam nelayan hilang di cilacap,Berita_indonesia,0,0,1,1,1,"Perahu Dihantam Ombak, 2 Nelayan di Cilacap Hilang",0
5849,5849,beli barang impor via kena ecommerc kata pajak ini dan ylki kadin,"Keuangan,Ekonomi_&_Bisnis",0,0,0,0,1,"Beli Barang Impor via E-Commerce Kena Pajak, Ini Kata YLKI dan Kadin",1
7991,7991,nayeon twice umbar seksi perut mcountdown di netizen habishabisan kritik,Hiburan_&_Selebriti,1,0,0,0,2,"Nayeon Twice Seksi Umbar Perut di 'M!Countdown', Netizen Kritik Habis-Habisan",1
5820,5820,talenta bakat audit the voic blind indonesia,Gaya_Hidup_&_Kesehatan,0,0,1,1,0,6 Talenta Berbakat Blind Audition The Voice Indonesia,1
2622,2622,bj habibi punya entrepreneur tinggi jiwa,"Keuangan,Ekonomi_&_Bisnis",0,0,0,0,0,BJ Habibie Punya Jiwa Entrepreneur Tinggi,1
3599,3599,dovizioso melempem jalan marquez balap lebih misano tenang di,Olahraga,0,0,0,0,1,"Dovizioso Melempem, Marquez Jalani Balapan Lebih Tenang di Misano",0
7297,7297,buah anggur dari jual tiongkok di lubuklinggau ribu rp per nyata kg kandung formalin,Regional_&_Daerah,0,0,1,2,1,"Buah Anggur dari Tiongkok Dijual di Lubuklinggau Rp 50 Ribu Per Kg, Ternyata Mengandung Formalin",1
2920,2920,jago mau gymkhana trik simak,Teknologi_&_Sains,0,0,0,0,1,"Mau Jago Gymkhana, Simak Triknya",1
6187,6187,kepala bkpm izin banyak pungli jadi obyek,"Keuangan,Ekonomi_&_Bisnis",0,0,0,0,0,Kepala BKPM: Banyak Izin Dijadikan Obyek Pungli,0
7452,7452,video anggota detikdetik dpd ri nyari baku hantam saat paripurna rapat,Berita_indonesia,0,0,0,0,0,Video Detik-detik Anggota DPD RI Nyaris Baku Hantam Saat Rapat Paripurna,1
6403,6403,Liga rabu hari ini jadwal siar langsung klasemen dan,Olahraga,0,0,1,1,0,Liga 1 Rabu Hari Ini: Jadwal Siaran Langsung dan Klasemen,0
1388,1388,sinetron sinopsi buta episod cinta tayang mei,Hiburan_&_Selebriti,0,0,1,9,1,"Sinopsis Sinetron 'CINTA BUTA' Episode 125, Tayang 15 Mei 2019",0
447,447,Korban wartawan pukul aparat makassar di lapor ke propam polda sulsel,Berita_indonesia,0,0,0,0,0,Wartawan Korban Pemukulan Aparat di Makassar Lapor ke Propam Polda Sulsel,0
2541,2541,pe resmi spesifikasi luncur pc cek kamu apakah main bisa gim ini,Teknologi_&_Sains,0,1,1,4,2,"PES 2020 Resmi Meluncur, Cek Spesifikasi PC Kamu Apakah Bisa Main Gim Ini?",1
4923,4923,gunung rapi ini petang sembur wedu km gembel jauh,Regional_&_Daerah,0,0,1,2,1,"Gunung Merapi Petang Ini Semburkan Wedus Gembel Sejauh 1,5 Km",0
5955,5955,Nenek aksi gendong ini jenazah cucu kata ani baswedan,Regional_&_Daerah,0,0,0,0,1,"Aksi Nenek Gendong Jenazah Cucu, Ini Kata Anies Baswedan",1
1973,1973,Samsung boyong tim esport deton tg ke,Teknologi_&_Sains,0,0,1,4,0,"Samsung Boyong Tim E-sport ""DeToNator"" ke TGS 2019",0
7633,7633,nihil pasti api titik statu cemar darurat udara akhir riau cabut,Berita_indonesia,0,0,0,0,1,"Dipastikan Nihil Titik Api, Status Darurat Pencemaran Udara Riau Akhirnya Dicabut",0
5315,5315,putra chapo el pimpin selamat dramati saudara tiri,Berita_Internasional,0,0,0,0,0,Putra El Chapo Pimpin Penyelamatan Dramatis Saudara Tirinya,0
446,446,orang meningg akibat gempa dunia ambon,Berita_indonesia,0,0,1,1,0,3 Orang Meninggal Dunia Akibat Gempa Ambon,0
7320,7320,umum beasiswa audisi bulutangki atlet raih super tiket ke laju final audisi di kudu,Olahraga,0,0,1,6,0,Audisi Umum Beasiswa Bulutangkis 2019: 26 Atlet Raih Super Tiket Melaju ke Final Audisi di Kudus,0
2864,2864,daniel jame masih takjub jalan sama debut mu,Olahraga,0,0,0,0,0,Daniel James Masih Takjub Jalani Debut Bersama MU,1
4119,4119,keras hadap jurnal hong oleh polisi tingkat kong,Berita_indonesia,0,0,0,0,0,Kekerasan terhadap Jurnalis oleh Polisi Hong Kong Meningkat,0
5592,5592,psg bisa latih tak apaapa fan jika sorak neymar di laga vs strasbourg,Olahraga,0,0,0,0,0,Pelatih PSG Tak Bisa Apa-apa Jika Fans Soraki Neymar di Laga vs Strasbourg,0
7141,7141,tahun obat luka batin gs kisah ini amelia yani putri jender yani achmad,Berita_indonesia,0,0,1,4,2,"20 Tahun Mengobati Luka Batin G30S, Inilah Kisah Amelia Yani, Putri Jenderal Achmad Yani",1
6244,6244,ferrari luncur gt per km kurang jam dari detik,Teknologi_&_Sains,0,0,1,7,1,"Ferrari 812 GTS Meluncur, 100 Km per Jam Kurang dari 3 Detik",0
1876,1876,calya toyota simak luncur detail harga,Teknologi_&_Sains,0,0,1,4,1,"Toyota Calya 2019 Meluncur, Simak Detail Harganya",1
3479,3479,anggota dewan rapat hadir kesah paripurna kpk pimpin,Berita_indonesia,0,0,1,3,0,299 Anggota Dewan Hadiri Rapat Paripurna Pengesahan Pimpinan KPK,0
184,184,tani blitar karena biar tomat busuk harga anjlok,Berita_indonesia,0,0,0,0,0,Petani Blitar Biarkan Tomat Membusuk karena Harga Anjlok,0
1334,1334,gift seri inovasi baru dan kini untuk ema investasi,Hiburan_&_Selebriti,0,0,0,0,1,"'Gift Series', Inovasi Terbaru dan Kekinian Untuk Investasi Emas",0
8247,8247,Roni komedian dozer lari ke sakit rumah usai kaki bengkak begini kondisi,Hiburan_&_Selebriti,0,0,0,0,1,"Komedian Rony Dozer Dilarikan ke Rumah Sakit Usai Kaki Bengkak, Begini Kondisinya",1
1512,1512,peduli selamat bumi kotak ikut pohon tanam di ngawi,Hiburan_&_Selebriti,0,0,0,0,1,"Peduli Keselamatan Bumi, Kotak Ikutan Tanam Pohon di Ngawi",0
2276,2276,pemprov dki potong tetap kabel meski utilita lapor ombudsman ke,Berita_indonesia,0,0,0,0,0,Pemprov DKI Tetap Potong Kabel Utilitas meski Dilaporkan ke Ombudsman,0
7437,7437,deret seleb hampir usia namun masih tahun lihat ini muda mereka rahasia,Hiburan_&_Selebriti,0,0,1,2,1,"Deretan Seleb Hampir Berusia 50 Tahun Namun Masih Terlihat Muda, Ini Rahasia Mereka",1
6134,6134,nusantara gow ngawi di ajak masyarakat lingkung sadar,Olahraga,0,0,0,0,0,Gowes Nusantara di Ngawi Ajak Masyarakat Sadar Lingkungan,0
1023,1023,sabar tanda ini selingkuh pasang belakang di,Gaya_Hidup_&_Kesehatan,0,0,1,2,1,"Bersabarlah, Ini 10 Tanda Pasangan Selingkuh di Belakangmu",1
6445,6445,warga condet beri nama cucu habibi kisah simak nekat,Regional_&_Daerah,0,0,0,0,1,"Warga Condet Beri Nama Cucu Habibie, Simak Kisah Nekatnya",1
2676,2676,hal haru yang laku mu untuk bungkam leicest,Olahraga,0,0,1,1,0,3 Hal yang Harus Dilakukan MU Untuk Membungkam Leicester,1
2228,2228,ibu soal baru kota klhk akan pulih foku lingkung,Berita_indonesia,0,0,0,0,1,"Soal Ibu Kota Baru, KLHK Akan Fokus Pemulihan Lingkungan ",0
3276,3276,Ini duga sebab ledak di bahan gudang mako ledak brimob jateng,Berita_indonesia,0,0,0,0,0,Ini Dugaan Penyebab Ledakan di Gudang Bahan Peledak Mako Brimob Jateng,1
3433,3433,Viral di medso video bocah masak nasi untuk goreng sendiri adik sedih lihat,Gaya_Hidup_&_Kesehatan,1,0,0,0,3,"Viral di Medsos, Video Bocah Masak Nasi Goreng Sendiri untuk Adik, Sedih Lihatnya!",1
6321,6321,we tongkat talk tunanetra sensor deteksi dengan jalan,Difabel,0,0,0,0,1,"We Talk, Tongkat Tunanetra dengan Sensor Pendeteksi Jalan",0
8183,8183,bakal investor gelar di temu kalimantan rencana investasi di kota baru ibu,Berita_indonesia,0,0,0,0,0,Investor Bakal Gelar Pertemuan Di Kalimantan Rencanakan Investasi Di Ibu Kota Baru,0
2479,2479,News top usai raya meningg bagaimana kasu lanjut video vina garut syur,Berita_indonesia,0,1,1,1,2,"Top 3 News: Usai Raya Meninggal, Bagaimana Kelanjutan Kasus Video Syur Vina Garut?",1
3080,3080,googl warna konfirmasi pixel lewat coral iklan di time squar,Teknologi_&_Sains,0,0,1,1,0,Google Konfirmasi Warna Coral Pixel 4 Lewat Iklan di Times Square,0
229,229,anggota alas dprd banten sk gadai renovasi rumahbayar anak kuliah,Berita_indonesia,0,0,0,0,0,Alasan Anggota DPRD Banten Gadaikan SK: Renovasi Rumah-Bayar Kuliah Anak,0
7324,7324,anak angkat ruben mulai onsu sekolah betrand jadwal peto tv di rang ganti sibuk ini,Hiburan_&_Selebriti,0,0,0,0,2,"Anak Angkat Ruben Onsu Mulai Sekolah, Jadwal Betrand Peto di TV Dikurangi, Diganti Kesibukan Ini",1
8530,8530,horor video hujan bombardir es sawah jeneponto di,Berita_indonesia,0,0,0,0,0,Video: Horor Hujan Es 'Bombardir' Persawahan di Jeneponto,1
7420,7420,indosiar link stream persija vs bal unit liga hp aks di,Hiburan_&_Selebriti,0,0,1,5,1,"Link Streaming Indosiar Persija vs Bali United Liga 1 2019, Akses di HP",0
3638,3638,ayu ting ting enggan raya bilqi ulang tahun enam kenapa,Hiburan_&_Selebriti,0,1,0,0,2,"Ayu Ting Ting Enggan Rayakan Ulang Tahun Keenam Bilqis, Kenapa?   ",1
2461,2461,jdih raih bnptki ii baik award jdihn,Berita_indonesia,0,0,1,5,0,JDIH BNP2TKI Raih Terbaik II JDIHN Award 2019,0
7948,7948,kira usaha laba enas blackpink yg kasihan netizen,Hiburan_&_Selebriti,0,0,0,0,1,"Perkiraan Laba Usaha YG Mengenaskan, BLACKPINK Dikasihani Netizen",1
957,957,sikap suka ini seperti buat nyata sebal,Gaya_Hidup_&_Kesehatan,1,0,0,0,1,Suka Bersikap Seperti Ini Ternyata Membuatmu Menyebalkan!,1
2042,2042,aburiz pak kondisi habibi baik lebih dari tadi pagi,Berita_indonesia,0,0,0,0,0,Aburizal: Kondisi Pak Habibie Lebih Baik dari Pagi Tadi,0
6909,6909,bal jadi daerah bas inti kendara listrik,Teknologi_&_Sains,0,0,0,0,0,Bali Jadi Daerah Perintis Berbasis Kendaraan Listrik,0
688,688,ini pagi jarak pandang rendah jadi di jumlah bandara akibat asap kabut,Berita_indonesia,0,0,0,0,0,Pagi Ini Jarak Pandang Rendah Terjadi di Sejumlah Bandara Akibat Kabut Asap,0
4290,4290,hanya habibi jenguk boleh orang bata,Berita_indonesia,0,0,0,0,0,Habibie Hanya Boleh Dijenguk Orang Terbatas,0
6834,6834,uu revisi bikin kpk sinta nuriyah gu dur puse mule dan,Berita_indonesia,0,0,0,0,0,Revisi UU KPK Bikin Sinta Nuriyah Gus Dur Mules dan Pusing,0
1075,1075,drama sinopsi still kenang episod lalu masa,Hiburan_&_Selebriti,0,0,1,4,1,"Sinopsis Drama STILL 17 Episode 14, Kenangan Masa Lalu",0
1220,1220,sinopsi suci sinetron cinta tayang episod senin april,Hiburan_&_Selebriti,0,0,1,8,1,"Sinopsis Sinetron 'CINTA SUCI' Episode 305 Tayang Senin, 8 April 2019",0
4835,4835,imingimingi netanyahu lembah menang yordan demi milu,Berita_indonesia,0,0,0,0,0,Netanyahu Iming-imingi Lembah Yordan demi Menang Pemilu,0
6940,6940,basket renang dan olahraga bikin ini tinggi atau mito fakta,Gaya_Hidup_&_Kesehatan,0,1,0,0,3,"Renang, Basket dan Olahraga Ini Bikin Tinggi, Mitos atau Fakta?",1
2414,2414,polisi cara tindak langgar ganjil agar genap lolo tidak,Berita_indonesia,0,0,0,0,0,Cara Polisi Tindak Pelanggar Ganjil Genap Agar Tidak Lolos,1
8055,8055,ita nct member pamer imut siapa wajah pale lucu,Hiburan_&_Selebriti,0,1,1,7,2,"ITA 2019: Member NCT 127 Pamer Wajah Imut, Siapa Paling Lucu?",1
6902,6902,Lawan jelang persikabo tira febri gabung sudah persib bandung,Olahraga,0,0,0,0,1,"Menjelang Lawan Tira Persikabo, Febri Sudah Gabung Persib Bandung",0
3561,3561,selain ralin shah ini juga arti yang kopi jual,Gaya_Hidup_&_Kesehatan,0,0,1,1,1,"Selain Raline Shah, Ini 5 Artis yang Juga Jualan Kopi   ",1
5258,5258,istimewa laku pada sarri ronaldo,Olahraga,0,0,0,0,0,Perlakuan Istimewa Sarri pada Ronaldo,1
5196,5196,uang kpr muka dan motor kredit makin murah desemb mulai,"Keuangan,Ekonomi_&_Bisnis",0,0,0,0,0,Uang Muka KPR dan Kredit Motor Makin Murah Mulai Desember,0
5553,5553,Giia makassar catat kontribusi positif,Teknologi_&_Sains,0,0,1,4,0,GIIAS Makassar 2019 Catatkan Kontribusi Positif,0
1090,1090,angga dwima dan sasongko nicolin ilmu dengan bagibagi calon creator content,Hiburan_&_Selebriti,0,0,0,0,0,Angga Dwimas Sasongko dan Nicoline Bagi-Bagi Ilmu dengan Calon Content Creator,0
8251,8251,viral rekam tindak wartawan aparat represif sikap polisi jadi ini sorot,Berita_indonesia,0,0,0,0,1,"Viral Wartawan Rekam Tindakan Represif Aparat, Sikap Polisi Ini Jadi Sorotan",1
2398,2398,Sempat kritik film cumbu tubuh putar indah di semarang,Berita_indonesia,0,0,0,0,1,"Sempat Dikritik, Film ""Kucumbu Tubuh Indahku"" Diputar di Semarang",0
6117,6117,Piala dunia basket fiba laju dihadang serbia argentina,Olahraga,0,0,1,4,0,Piala Dunia Basket FIBA 2019: Laju Serbia Dihadang Argentina,0
1301,1301,ajun istri perwira sunan ungkap salmafina sudah nyaman yakin dengan baru,Hiburan_&_Selebriti,0,1,0,0,1,Istri Ajun Perwira Ungkap Salmafina Sunan Sudah Nyaman Dengan Keyakinan Barunya?,1
2092,2092,perlu konstruksi terowongan manajemen risiko tinggi,Properti_&_Perumahan,0,0,0,0,0,Konstruksi Terowongan Perlu Manajemen Risiko Tinggi,0
4659,4659,kepala inspirasi lap habibi muda generasi indonesia,Berita_indonesia,0,0,0,0,0,Kepala Lapan: Habibie Inspirasi Generasi Muda Indonesia,0
3691,3691,dua jargon cukup anak bakal ganti ini alas makna dan,Gaya_Hidup_&_Kesehatan,0,0,0,0,1,"Jargon 'Dua Anak Cukup' Bakal Diganti, Ini Alasan dan Maknanya",1
5687,5687,Sulut expo kembang trade tourism and invest,Regional_&_Daerah,0,0,1,4,2,"Sulut Expo 2019 Kembangkan Tourism, Trade, and Investment",0
6582,6582,Ancam buwa modu bongkar bagaimana bpnt sistem salur,"Keuangan,Ekonomi_&_Bisnis",0,1,0,0,2,"Buwas Ancam Bongkar Modus BPNT, Bagaimana Sistem Penyalurannya?",1
5929,5929,lisa kirim donasi blackpink untuk banjir korban thailand,Hiburan_&_Selebriti,0,0,0,0,0,Lisa Blackpink Kirim Donasi untuk Korban Banjir Thailand,0
2317,2317,Polisi sebut tidak ada serta unjuk aksi rasa di kpk aman yang,Berita_indonesia,0,0,0,0,0,Polisi Sebut Tidak Ada Peserta Aksi Unjuk Rasa di KPK yang Diamankan ,0
2954,2954,tip agar nikah langgeng seperti habibi bj ainun dan,Gaya_Hidup_&_Kesehatan,0,0,0,0,0,Tips Pernikahan Agar Langgeng Seperti BJ Habibie dan Ainun,1
187,187,Hari asyura pemkot makassar rili antisipasi edar sebar syiah,Berita_indonesia,0,0,0,0,1,"Hari Asyura, Pemkot Makassar Rilis Edaran Antisipasi Penyebaran Syiah",0
6617,6617,putus serat optik di cikini juga ganggu telepon jaring,Regional_&_Daerah,0,0,0,0,0,Pemutusan Serat Optik di Cikini Juga Ganggu Jaringan Telepon,0
2300,2300,beri uang untuk senjata habil beli marati sebut bangsa untuk penting dan negara,Berita_indonesia,0,0,0,0,1,"Beri Uang untuk Beli Senjata, Habil Marati Sebut Untuk Kepentingan Bangsa dan Negara",0
4789,4789,suku bunga turun bi pasar tarik obligasi kian,"Keuangan,Ekonomi_&_Bisnis",0,0,0,0,1,"Suku Bunga BI Turun, Pasar Obligasi Kian Menarik",0
4853,4853,valencia celad latih tunjuk baru,Olahraga,0,0,0,0,0,Valencia Tunjuk Celades Pelatih Baru,0
3299,3299,kisah jean dapat mewah hingga ta lil dunia pakai jet dari,Gaya_Hidup_&_Kesehatan,0,0,0,0,1,"Kisah Jeane, Dapat Tas Mewah hingga Keliling Dunia Pakai Jet dari ",1
2206,2206,mabe polri sistem kembang informasi untuk pasti jumlah korban bencana buah,Berita_indonesia,0,0,0,0,0,Mabes Polri Kembangkan Sistem Informasi untuk Pastikan Jumlah Korban Sebuah Bencana,0
2295,2295,wapr banyak sebut takut jabat ambil putus karena korupsi tuding,Berita_indonesia,0,0,0,0,0,Wapres Sebut Banyak Pejabat Takut Ambil Keputusan karena Tudingan Korupsi,0
2230,2230,Sebut polisi air sedia kendala jadi madam karhutla,Berita_indonesia,0,0,0,0,0,Polisi Sebut Ketersediaan Air Jadi Kendala Pemadaman Karhutla ,0
6396,6396,Puluh turi kemenpar batal ase datang akibat kabut asap,"Keuangan,Ekonomi_&_Bisnis",0,0,0,0,0,Kemenpar: Puluhan Turis Asing Batal Datang Akibat Kabut Asap,0
8165,8165,Taulani andr sule ceplos rias jomblo tebal krisdayanti jadi anggota dpr pagi dikritiktopik,Hiburan_&_Selebriti,0,0,0,0,1,"Andre Taulany Keceplosan Sule Jomblo, Riasan Tebal Krisdayanti Jadi Anggota DPR Dikritik-Topik Pagi",1
6607,6607,prediksi liga kalteng vs putra baya surabaya,Olahraga,0,0,1,1,0,Prediksi Liga 1: Kalteng Putra vs Persebaya Surabaya,0
2260,2260,cabut menkumham paspor veronica koman sesuai atur,Berita_indonesia,0,0,0,0,0,Menkumham: Pecabutan Paspor Veronica Koman Sesuai Aturan,0
6488,6488,menteri pariwisata tanya taman komodo statu nasion,"Keuangan,Ekonomi_&_Bisnis",0,0,0,0,0,Menteri Pariwisata Pertanyakan Status Taman Nasional Komodo,0
5679,5679,inspirasi layu tanam serta olimpiad robotika robot siram buat pohon,Teknologi_&_Sains,0,0,0,0,1,"Terinspirasi Tanaman Layu, Peserta Olimpiade Robotika Buat Robot Penyiram Pohon",0
1723,1723,meikarta kasu asn pemprov jabar panggil kpk,Berita_indonesia,0,0,1,1,1,"Kasus Meikarta, 3 ASN Pemprov Jabar Dipanggil KPK",0
3653,3653,jeli peluang lihat babel kembang agroindustri tapioka dari singkong,Berita_indonesia,0,0,0,0,1,"Jeli Lihat Peluang, Babel Kembangkan Agroindustri Tapioka dari Singkong",0
1588,1588,belum siap pent masuk area jicomfest,Hiburan_&_Selebriti,0,0,1,6,0,10 Persiapan Penting Sebelum Masuk Area JICOMFEST 2019,1
3710,3710,celaka maut mayat gelimpang malah asyik warga ambil foto dan video,Berita_indonesia,1,0,0,0,3,"Kecelakaan Maut, Mayat Bergelimpangan, Warga Malah Asyik Ambil Foto dan Video!",1
2826,2826,Bank mandiri telah salur kur untuk sektor rp wisata triliun,"Keuangan,Ekonomi_&_Bisnis",0,0,1,3,1,"Bank Mandiri Telah Salurkan KUR untuk Sektor Wisata Rp 2,48 Triliun",0
925,925,habibi bj meningg begini sedih reza rahadian,Berita_indonesia,0,0,0,0,1,"BJ Habibie Meninggal, Begini Sedihnya Reza Rahadian",1
6769,6769,jokowi kirim aku belum revisi uu surpr kpk baru terima dim,Berita_indonesia,0,0,0,0,1,"Jokowi Mengaku Belum Kirim Surpres Revisi UU KPK, Baru Terima DIM",0
7634,7634,angela lee jatuh hingga kepala bocor ganggu halu garagara makhluk,Hiburan_&_Selebriti,0,1,0,0,1,Angela Lee Terjatuh Hingga Kepala Bocor Gara-Gara Diganggu Makhluk Halus?,1
3648,3648,ispa sakit akibat kabut asap serang kota jambi warga,Berita_indonesia,0,0,1,5,1,Penyakit ISPA Akibat Kabut Asap Serang 16.000 Warga Kota Jambi,0
3995,3995,televisi k grati dari orang kaya siapa seasia mau,"Keuangan,Ekonomi_&_Bisnis",0,1,1,1,2,"Televisi 4K Gratis dari Orang Terkaya Se-Asia, Siapa Mau?",1
4052,4052,de bruyn bekuk motor belgia skotlandia,Olahraga,0,0,1,2,0,De Bruyne Motori Belgia Bekuk Skotlandia 4-0 ,0
